comment,handles,hashtags,word_count,emoji_count,filtered_words,expanded_comment,lemmatized_words,detected_phrases,sentiment_emotion,is_question,has_buying_intent,question_confidence,buying_intent_confidence
"Hey @user1, check out this awesomeğŸ˜ƒ #newproduct! ğŸ˜ƒ",['user1'],['newproduct'],7,2,"['Hey', 'user1', 'check', 'newproduct']","Hey @user1, check out this awesomeğŸ˜ƒ #newproduct! ğŸ˜ƒ","['Hey', 'user1', 'check', 'newproduct']",['Hey user1 check newproduct'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7325}}",False,False,0.0,0.0
I don't like this product. #badquality,[],['badquality'],6,0,"['like', 'product', 'badquality']",I do not like this product. #badquality,"['like', 'product', 'badquality']",['product badquality'],"{'sentiment': 'Negative', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2755}}",False,False,0.0,0.0
"Amazing work! @user2 and @user3, you guys rock! ğŸ’ª","['user2', 'user3']",[],8,1,"['Amazing', 'work', 'user2', 'user3', 'guys', 'rock']","Amazing work! @user2 and @user3, you guys rock! ğŸ’ª","['Amazing', 'work', 'user2', 'user3', 'guy', 'rock']","['Amazing work user2 user3 guys', 'rock']","{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.658}}",False,False,0.0,0.0
This is another comment with some more words and emojis ğŸ‰ğŸ¥³.,[],[],10,2,"['another', 'comment', 'words', 'emojis']",This is another comment with some more words and emojis ğŸ‰ğŸ¥³.,"['another', 'comment', 'word', 'emojis']",['another comment words'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",False,False,0.5,0.0
Just received my order! ğŸ“¦ It looks fantastic! #happycustomer,[],['happycustomer'],8,1,"['received', 'order', 'looks', 'fantastic', 'happycustomer']",Just received my order! ğŸ“¦ It looks fantastic! #happycustomer,"['received', 'order', 'look', 'fantastic', 'happycustomer']",['order'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.6351}}",False,True,0.0,0.5
"Can't believe how good this is! @brandname, you nailed it! ğŸ‘ğŸ˜",['brandname'],[],10,2,"['believe', 'good', 'brandname', 'nailed']","Cannot believe how good this is! @brandname, you nailed it! ğŸ‘ğŸ˜","['believe', 'good', 'brandname', 'nailed']",['good brandname'],"{'sentiment': 'Negative', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.457}}",False,False,0.2,0.1
This outfit is so stunning! Perfect for the summer vibes! ğŸŒğŸŒ¼ #fashion,[],['fashion'],11,2,"['outfit', 'stunning', 'Perfect', 'summer', 'vibes', 'fashion']",This outfit is so stunning! Perfect for the summer vibes! ğŸŒğŸŒ¼ #fashion,"['outfit', 'stunning', 'Perfect', 'summer', 'vibe', 'fashion']","['outfit stunning Perfect summer', 'fashion']","{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.8372}}",False,False,0.5,0.0
Love the aesthetics of this post! âœ¨âœ¨ #photography #inspiration,[],"['photography', 'inspiration']",8,2,"['Love', 'aesthetics', 'post', 'photography', 'inspiration']",Love the aesthetics of this post! âœ¨âœ¨ #photography #inspiration,"['Love', 'aesthetic', 'post', 'photography', 'inspiration']","['Love aesthetics', 'photography inspiration']","{'sentiment': 'Positive', 'primary_emotion': 'pos', 'sentiment_scores': {'neg': 0.0, 'neu': 0.324, 'pos': 0.676, 'compound': 0.9098}}",False,False,0.0,0.0
So delicious! ğŸ˜‹ Just tried your recipe and it was a hit! #foodie,[],['foodie'],12,1,"['delicious', 'tried', 'recipe', 'hit', 'foodie']",So delicious! ğŸ˜‹ Just tried your recipe and it was a hit! #foodie,"['delicious', 'tried', 'recipe', 'hit', 'foodie']","['delicious tried recipe', 'foodie']","{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6785}}",False,False,0.5,0.0
Where did you get those shoes? I need them in my life! ğŸ‘Ÿâ¤ï¸,[],[],12,2,"['get', 'shoes', 'need', 'life']",Where did you get those shoes? I need them in my life! ğŸ‘Ÿâ¤ï¸,"['get', 'shoe', 'need', 'life']","['shoes', 'life']","{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,1.0
This place is beautiful! Would love to visit someday! ğŸ–ï¸ #travelgoals,[],['travelgoals'],10,1,"['place', 'beautiful', 'Would', 'love', 'visit', 'someday', 'travelgoals']",This place is beautiful! Would love to visit someday! ğŸ–ï¸ #travelgoals,"['place', 'beautiful', 'Would', 'love', 'visit', 'someday', 'travelgoals']",['place'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.8652}}",False,False,0.5,0.0
Your makeup looks flawless! Could you share the products? ğŸ’„âœ¨,[],[],9,2,"['makeup', 'looks', 'flawless', 'Could', 'share', 'products']",Your makeup looks flawless! Could you share the products? ğŸ’„âœ¨,"['makeup', 'look', 'flawless', 'Could', 'share', 'product']","['makeup', 'products']","{'sentiment': 'Positive', 'primary_emotion': 'pos', 'sentiment_scores': {'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.7959}}",True,False,1.0,0.0
What a stunning view! ğŸ˜ğŸï¸ #nature #explore,[],"['nature', 'explore']",6,2,"['stunning', 'view', 'nature', 'explore']",What a stunning view! ğŸ˜ğŸï¸ #nature #explore,"['stunning', 'view', 'nature', 'explore']",['stunning view nature explore'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.4389}}",False,False,0.7,0.0
How much is this dress?,[],[],5,0,"['much', 'dress']",How much is this dress?,"['much', 'dress']",['much dress'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,0.7
Where can I buy this?,[],[],5,0,['buy'],Where can I buy this?,['buy'],[],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,1.0
Do you ship to Canada?,[],[],5,0,"['ship', 'Canada']",Do you ship to Canada?,"['ship', 'Canada']",['ship Canada'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,0.7
I want to buy this ASAP!,[],[],6,0,"['want', 'buy', 'SOON', 'POSSIBLE']",I want to buy this AS SOON AS POSSIBLE!,"['want', 'buy', 'SOON', 'POSSIBLE']",['SOON POSSIBLE'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.1511}}",False,True,0.0,1.0
Drop the link please,[],[],4,0,"['Drop', 'link', 'please']",Drop the link please,"['Drop', 'link', 'please']",['Drop link'],"{'sentiment': 'Positive', 'primary_emotion': 'pos', 'sentiment_scores': {'neg': 0.328, 'neu': 0.312, 'pos': 0.359, 'compound': 0.0516}}",False,False,0.0,0.2
Is this available in size M?,[],[],6,0,"['available', 'size']",Is this available in size M?,"['available', 'size']",['available size'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,1.0
When will this be back in stock?,[],[],7,0,"['back', 'stock']",When will this be back in stock?,"['back', 'stock']",['back stock'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,1.0
Interested in purchasing this,[],[],4,0,"['Interested', 'purchasing']",Interested in purchasing this,"['Interested', 'purchasing']",['Interested purchasing'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}}",False,True,0.0,1.0
wtc this jacket,[],[],3,0,"['wtc', 'jacket']",wtc this jacket,"['wtc', 'jacket']",['wtc jacket'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",False,False,0.0,0.1
pp please,[],[],2,0,"['pp', 'please']",pp please,"['pp', 'please']",[],"{'sentiment': 'Positive', 'primary_emotion': 'pos', 'sentiment_scores': {'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.3182}}",False,False,0.0,0.4
hm for this?,[],[],3,0,['hm'],hm for this?,['hm'],[],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,0.8,1.0
too expensive for what it is,[],[],6,0,['expensive'],too expensive for what it is,['expensive'],[],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",False,False,0.2,0.0
not worth the price,[],[],4,0,"['worth', 'price']",not worth the price,"['worth', 'price']",['worth price'],"{'sentiment': 'Negative', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.1695}}",False,False,0.0,0.0
dm price,[],[],2,0,"['dm', 'price']",dm price,"['dm', 'price']",['dm price'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",False,False,0.0,0.4
